_id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas
35,SEM VÍTIMA,EM ATENDIMENTO,2015-06-01T00:00:00,18:11:00.000,JAQUEIRA,RUA DO FUTURO,,AO LADO DO PARQUE DA JAQUEIRA,QUEDA DE ÁRVORE,QUEDA DE ÁRVORE,,,,,,,,,,0
36,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,18:20:00.000,PINA,AV ANTONIO DE GOES,,NA SAIDA DO TUNEL DO SHOPPING RIO MAR SENTIDO JOANA BEZ,COLISÃO,COLISÃO SEM VITIMA LEVE,1,,,,,1,,,,0
37,SEM VÍTIMA,EM ATENDIMENTO,2015-06-01T00:00:00,18:28:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE AO HOSPITAL DA RESTAURAÇÃO,COLISÃO,CLISÃO ENVOLVENDO UM AUTO E UM ONIBUS,1,,,,,1,,,,0
38,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,18:35:00.000,BOA VISTA,RUA DA AURORA,,ENFR AO CINEMA SÃO LUIZ,COLISÃO,COLISÃO SEM VITIMA LEVE,,,,,,2,,,,0
39,COM VÍTIMA,EM ATENDIMENTO,2015-06-01T00:00:00,18:41:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,ENFR AO AEROPORTO SENTIDO ESTRADA DA BATALHA,COLISÃO,COLISÃO  COM VITIMA,,1,,,,,,1,,1
40,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,18:47:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,ENTRE O GERALDÃO E TEM DE TUDO,COLISÃO,COLISÃO LEVE,1,,,,,1,,,,0
41,COM VÍTIMA,CANCELADA,2015-06-02T00:00:00,07:46:00.000,PASSARINHO,EST DE PASSARINHO,,PROX. AO PAGODE DO RATO,ATROPELAMENTO,ATROPELAMENTO C/V,,1,,,1,,,,,2
42,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,07:46:00.000,ILHA DO LEITE,AV GOVERNADOR AGAMENON MAGALHAES,,"PISTA PRINCIPAL, SENTIDO BOA VIAGEM, SUBIDA DO VIADUTO CAPITAO TEMUDO",COLISÃO,COLISAO SEM VITIMAS,2,,,,,,,,,0
43,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,08:17:00.000,MADALENA,PRC DO INTERNACIONAL,,E/F AO CLUBE INTERNACIONAL/SENTIDO CIDADE N455,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,1,,,,0
44,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,08:21:00.000,AFOGADOS,RUA JACIRA,,5 DE NOVEMBRO,COLISÃO,COLISAO S/V,2,,,,,,,,,0
45,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,08:25:00.000,AFOGADOS,RUA JACIRA,,CRUZAMENTO COM 5 DE NOVEMBRO,COLISÃO,COLISAO S/V,2,,,,,,,,,0
46,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,08:35:00.000,ENGENHO DO MEIO,RUA BOM PASTOR,,PROX DO PRESIDIO BOM PASTOR E/F DO N 670,COLISÃO,COLISÃO DE ONIBUS E AUTO S/V,1,,,,,1,,,,0
47,COM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,09:35:00.000,SANTO AMARO,RUA VINTE E QUATRO DE AGOSTO,,E/F DA CONTAX,COLISÃO,ATROPELAMENTO COM VITIMA,1,,,,,,,,,1
48,COM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,09:38:00.000,SANTO ANTÔNIO,RUA DO SOL,,AV GUARARAPES ( AO LADO DOS CORREIOS),ATROPELAMENTO,ATROPELAMENTO,,1,,,1,,,,,1
49,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,09:40:00.000,AFOGADOS,RUA COSME VIANA,,EM FRENTE A FIORI,COLISÃO,COLISÃO ENTRE UM CARRO E UMA MOTO SEM VÍTIMA,1,,1,,,,,,,0
50,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,10:01:00.000,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,POR TRÁS DO TACARUNA DESCIDA DO VIADUTO S/T CID PROX DA FABRICA TACARUNA,COLISÃO,COLISÃO DE DOIS AUTOS S/V,2,,,,,,,,,0
51,COM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,10:02:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,E/F AO RESTAURANTE DOM FERREIRA( SEMÁF.217),COLISÃO,COM UMA VÍTIMA. GM STEPHANE NO LOCAL.,1,1,,,,,,,,1
52,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,10:26:00.000,JARDIM SÃO PAULO,AV SAO PAULO,,SEMAFORO 507,COLISÃO,COLISAO ENTRE UM ONIBUS E UM AUTO,1,,,,,1,,,,0
53,COM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,10:48:00.000,BOA VISTA,RUA PRINCESA IZABEL,,E/F AO HOSPITAL DO EXERCITO EM BAIXO DO SEMAFORO 031,COLISÃO,COLISÃO COM 1 VITIMA A ESPERA DO BOMBEIRO,1,1,,,,,,,,1
54,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,11:23:00.000,AFOGADOS,AV SUL,,AO LADO DA ESTAÇÃO LARGO DA PAZ,COLISÃO,UMA COLISAO S/V,2,,,,,,,,,0
55,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,11:41:00.000,CORDEIRO,AV CAXANGA,,PROX AO GETULIO VARGAS SENTIDO CENTRO E/F AO N.1417,COLISÃO,COLISÃO SEM VITIMAS,3,,,,,,,,,0
56,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,12:20:00.000,IMBIRIBEIRA,RUA ANTONIO FALCAO,,N 1595,COLISÃO,COLISÃO ENTRE DOIS AUTOS,1,1,,,,,,,,0
57,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,12:34:00.000,TORRE,AV VISCONDE DE ALBUQUERQUE,,"164, APÓS O BANCO ITAÚ",COLISÃO,3 AUTOS,3,,,,,,,,,0
58,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,12:39:00.000,BOA VIAGEM,AV GENERAL MAC ARTHUR,,SEMAFORO Nº402,COLISÃO,COL. MOTO E AUTO,1,1,,,,,,,,0
59,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,12:46:00.000,CORDEIRO,AV CAXANGA,,1381 AO LADO DA IGREJA CATÓLICA DO CORDEIRO,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
60,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,12:58:00.000,BOA VIAGEM,RUA FREI LEANDRO,,PROXIMO A GALERIA CENTRO SUL,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
61,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,13:09:00.000,CASA FORTE,AV FLOR DE SANTANA,,RUA DO MARQUES,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
62,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,13:29:00.000,ESPINHEIRO,AV GOVERNADOR AGAMENON MAGALHAES,,"NO FINAL DO VIADUTO DA JOÃO DE BARRO,SENTIDO OLINDA ANTES DA FACULDADE",COLISÃO,COL.S/V,2,,,,,,,,,0
63,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,13:39:00.000,GRAÇAS,RUA AMELIA,,"POR TRÁS DA COLÉGIO AGNES, E/F A DONA CASA, 470",COLISÃO,2 AUTOS,2,,,,,,,,,0
64,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,13:48:00.000,SANCHO,RUA APRIGIO GUIMARAES,,"230, E/F A TEMPLO DA TESTEMUNHAS DE JEOVÁ, SENTIDO JARDIM SÃO PAULO",COLISÃO,COLISÃO ENTRE DOIS AUTOS,1,,,,,1,,,,0
65,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,14:27:00.000,BOA VIAGEM,AV FERNANDO SIMOES BARBOSA,,EM FRENTE AO EDF/JULIANO Nº4650,COLISÃO,COL.S/V,2,,,,,,,,,0
66,COM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,15:01:00.000,CAMPO GRANDE,RUA PROFESSOR FRANCISCO DA TRINDADE,,DEPOIS DO MERCADO STILO 1º DIREITA COM A RUA  SAO CAETANO,COLISÃO,"",1,1,,,,,,,,1
67,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,15:26:00.000,IBURA,RUA VALE DO ITAJAI,,EM FRENTE  UPA NO ESTACIONAMENTO,COLISÃO,COLISÃI DOIS AUTOS,2,,,,,,,,,0
68,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,15:36:00.000,ESTÂNCIA,AV.JOÃO CABRAL DE MELO NETO,,"5630 , NA ENTRADA DE JARDIM SÃO PAULO",COLISÃO,COLISÃO ENTRE UM AUTO E UM CAMINHÃO,1,,,,,,1,,,0
69,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,15:46:00.000,DERBY,RUA JOAQUIM NABUCO,,SEMAFORO Nº071,COLISÃO,"",1,1,,,,,,,,0
70,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,15:55:00.000,BAIRRO DO RECIFE,RUA DO BOM JESUS,,POR  TRAS  DA BOLSA DE VALORES,COLISÃO,COLISAO  DOIS AUTOS,2,,,,,,,,,0
71,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,16:04:00.000,SANTO AMARO,RUA CAPITAO LIMA,,"COM A RUA SÃO GERALDO ,PX DA TV JORNAL",COLISÃO,"",2,,,,,,,,,0
72,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,16:08:00.000,AFOGADOS,RUA SAO MIGUEL,,"187, E/F A ANTIGA FÁBRICA DA SOUZA CRUZ, DSD",COLISÃO,COLISÃO,1,1,,,,,,,,0
73,SEM VÍTIMA,EM ATENDIMENTO,2015-06-02T00:00:00,16:34:00.000,AREIAS,RUA CAMBUCA,,EM FRENTE AO MUNDO DAS UTILIDADE Nº35 E DO ARMAGEM MATERIAL DE CONSTRUÇÃO Nº17,COLISÃO,"",2,,,,,,,,,0
74,SEM VÍTIMA,EM ATENDIMENTO,2015-06-02T00:00:00,16:45:00.000,DOIS IRMÃOS,AV DA RECUPERACAO,,SEMAFORO Nº416,COLISÃO,"",2,,,,,,,,,0
75,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,17:36:00.000,BOA VIAGEM,AV CONSELHEIRO AGUIAR,3355,EM FRENTE AO EDIFICIO TROPICAL,COLISÃO,COLISÃO,2,,,,,,,,,0
76,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,18:22:00.000,SETUBAL,RUA SA E SOUZA,,COM A RUA JOÃO CARDOSO AYRES,COLISÃO,"",0,,,,,,,,,0
77,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,18:14:00.000,BOA VISTA,RUA PRINCESA IZABEL,,E/F CAMARA VEREADORES,COLISÃO,SEM VITIMAS,1,,,,,,1,,,0
78,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,18:50:00.000,SÃO JOSÉ,AV SUL,76,APOIS AO DESSIMO SEXTO BATLHÃO SEMAFORO,COLISÃO,SEM VITIMA,1,,,,,1,,,,0
79,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,18:37:00.000,BOA VIAGEM,RUA PROF AURELIO DE CASTRO CAVALCANTI,,PROX AO COLEGIO PRIMEIRO PASSO,COLISÃO,COLISÃO ENTRE AUTO E ONIBUS,1,,,,,1,,,,0
80,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,18:50:00.000,CAXANGÁ,AV CAXANGA,,PROXIMO A INTEGRAÇÃO DA CAXANGA,COLISÃO,COLISÃO ENTRE AUTO E UM CAMINHÃO,1,,,,,,1,,,0
81,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,19:05:00.000,BARRO,AV DR JOSE RUFINO,,E/F IGREJA DO BARRO,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
82,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,19:13:00.000,AREIAS,AV DR JOSE RUFINO,,PROX A IGREJA DO BARRO / ENF AO COLEGIO IMACULADA DA CONCEIÇÃO,COLISÃO,COLISÃO ENTRE DOIS AUTO,2,,,,,,,,,0
83,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,19:02:00.000,BOA VISTA,RUA PRINCESA IZABEL,,E/F CAMARA VEREADORES,COLISÃO,CAMINHÃO - FIAT UNO,1,,,,,,1,,,0
84,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,19:40:00.000,IMBIRIBEIRA,AEROPORTO DO RECIFE,,NO ESTACIONAMENTO DE TAXI A2,COLISÃO,S/V ENTRE TAXI E AUTO,2,,,,,,,,,0
85,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,20:24:00.000,CASA FORTE,AV DEZESSETE DE AGOSTO,,ENF AO N; 1255 ENF A FARMACIA DROGA VIO,COLISÃO,S/V ENTRE DOIS AUTO,2,,,,,,,,,0
86,SEM VÍTIMA,EM ATENDIMENTO,2015-06-02T00:00:00,21:13:00.000,PINA,RUA JEMIL ASFORA,,NA QUADRA 24 ENF AO N;3 ENF AO ESPETINHO DO BIL,CHOQUE,VEICULO CHOCOU SE   COM MURO,1,,,,,,,,,0
87,COM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,21:30:00.000,ÁGUA FRIA,RUA DAS MOCAS,,E/F NUMERO 65,COLISÃO,COLIOSÃO ENTRE CINQUENTINHA - AUTO,1,,1,,,,,,,1
88,SEM VÍTIMA,CANCELADA,2015-06-02T00:00:00,21:56:00.000,AFOGADOS,RUA NICOLAU PEREIRA,,ENF AO BANCO DA CAIXA ECONOMICA / CRUZ COM A RUA  IMPERIAL / SNT ESTRADA DO REMEDIO,COLISÃO,S/V ENTRE  MOTO E AUTO,1,1,,,,,,,,0
89,SEM VÍTIMA,FINALIZADA,2015-06-02T00:00:00,22:45:00.000,ILHA DO LEITE,AV BEIRA RIO,,EM FRENTE AO EDIFICIL ILHA DO RETIRO NUMERO 240,COLISÃO,S/V ENTRE AUTO E MOTO,1,1,,,,,,,,0
90,SEM VÍTIMA,CANCELADA,2015-06-03T00:00:00,01:50:00.000,JARDIM SÃO PAULO,RUA JUNDIAI,,"EM FRENTE DA CEASA, PORTÃO 03 / EM FRENTE AO SUPERMERCADO PAJEÚ",COLISÃO,COLISÃO ENTRE DOIS AUTO,2,,,,,,,,,0
91,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,05:32:00.000,BOA VIAGEM,RUA PROFESSOR JOSE BRANDAO,,CRUZAMENTO COM A RUA FRANCISCO DA CUNHA,COLISÃO,COLISÃO ENTRE DOIS AUTO,2,,,,,,,,,0
92,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,07:21:00.000,ARRUDA,RUA DAS MOCAS,,PRÓXIMO A ENTRADA DE CHÃO DE ESTRELAS,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
93,COM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,07:39:00.000,BOA VIAGEM,RUA AZUL,,PROX AO SUPERMERCADO  TREVO E/F AO  N.137,COLISÃO,COLISÃO SEM VITIMAS,1,1,,,,,,,,1
94,SEM VÍTIMA,PENDENTE,2015-06-03T00:00:00,07:47:00.000,TORRE,RUA REAL DA TORRE,,CRUZ COM A CONDE DO IRAJA E/F AO N1201,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
95,SEM VÍTIMA,CANCELADA,2015-06-03T00:00:00,08:25:00.000,BOA VISTA,AV JOAO DE BARROS,,"",COLISÃO,COLISÃO S/V VEICULOS SE ENCONTRA NO ESTACIONAMENTO DA UNIVERSIDADE CATÓLICA,2,,,,,,,,,0
96,COM VÍTIMA,CANCELADA,2015-06-03T00:00:00,08:30:00.000,BOA VIAGEM,RUA AZUL,,"PX DO MERCADO TREVO,NO SET/PIEDADE",COLISÃO,"",1,1,,,,,,,,1
97,SEM VÍTIMA,CANCELADA,2015-06-03T00:00:00,08:39:00.000,SANTO AMARO,RUA DO POMBAL,,AO LADO DO  CENTRO DA JUVENTUDE,COLISÃO,COLISÃO  SEM VITIMAS,1,1,,,,,,,,0
98,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,09:18:00.000,SANTO AMARO,RUA DO POMBAL,,COM AV NORTE,COLISÃO,COLISÃO ENTRE AUTO X MOTO,1,1,,,,,,,,0
99,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,10:00:00.000,TORREÃO,AV NORTE,,"EM FRENTE DA PIRELLI ,SET.SUB",COLISÃO,"",3,,,,,,,,,0
100,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,10:34:00.000,GRAÇAS,AV GOVERNADOR AGAMENON MAGALHAES,,"PISTA PRINCIPAL, SENTIDO BOA VIAGEM, EM FRENTE ESCOLA BARBOSA LIMA",COLISÃO,COLISAO SEM VITIMAS,,,,,,2,,,,0
101,SEM VÍTIMA,CANCELADA,2015-06-03T00:00:00,10:45:00.000,CURADO,KM 70 BR 101,,EM FRENTE A DISTRIBUIDORA CRISTAL,COLISÃO,COLISÃO S/V DENTRO DA SEASA,1,,,,,,1,,,0
102,SEM VÍTIMA,PENDENTE,2015-06-03T00:00:00,10:54:00.000,SANTO AMARO,AV CRUZ CABUGA,,EM FRENTE AO HOSPITAL NAVAL,COLISÃO,COLISÃO ENTRE ÔNIBUS E AUTOMÓVEL,1,,,,,1,,,,0
103,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,10:56:00.000,SANTO AMARO,RUA COELHO LEITE,893,E/F AO,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,,1,,,0
104,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,11:07:00.000,TORRE,RUA JOSE BONIFACIO,,AO LADO DO  CARREFOUR  E/F AO POSTO DE GASOLINA  SHELL,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,,1,,,0
105,SEM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,11:15:00.000,CASA AMARELA,AV NORTE,,PROX AO REI DA PICANHA SENTIDO SUBURBIO  E/F A IGREJA BATISTA DO ARRAIAL N.4953,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
106,COM VÍTIMA,FINALIZADA,2015-06-03T00:00:00,11:15:00.000,AREIAS,AV DR JOSE RUFINO,,"EM BAIXO AO VIA DUTO DO MACRO, EM FRENTE A SOCORRO DOCES E SALGADOS",COLISÃO,COLISAO C/V,2,,,,,,,,,2
